house_id,city,area_sqft,bedrooms,bathrooms,age_years,furnishing,price_lakhs
1,Hyderabad,1980,3,2,32,Unfurnished,52.49
2,Chennai,1571,5,2,1,Furnished,77.13
3,Bangalore,1429,1,1,6,Unknown,51.8
4,Vijayawada,1034,1,1,4,Semi-Furnished,64.97
5,Vijayawada,746,3,1,28,Semi-Furnished,89.65
6,Chennai,1281,3,1,24,Furnished,51.06
7,Hyderabad,1476,4,2,19,Unfurnished,85.14
8,Bangalore,2296,3,3,9,Furnished,81.94
9,Hyderabad,1559,5,3,3,Semi-Furnished,41.13
10,Hyderabad,1942,3,2,22,Unknown,89.35
11,Bangalore,1275,1,3,9,Semi-Furnished,82.46
12,Guntur,967,1,3,23,Furnished,67.55
13,Chennai,1066,5,2,27,Unfurnished,45.94
14,Chennai,1174,1,2,33,Furnished,43.52
15,Chennai,2458,5,1,19,Furnished,128.26
16,Chennai,1130,2,3,0,Furnished,78.56
17,Bangalore,1877,1,1,11,Furnished,41.11
18,Hyderabad,1094,2,2,34,Semi-Furnished,75.94
19,Chennai,1919,4,1,21,Unfurnished,33.96
20,Vijayawada,1673,3,3,24,Furnished,59.9
21,Bangalore,1430,4,2,18,Furnished,67.74
22,Vijayawada,1482,4,1,6,Unknown,126.13
23,Hyderabad,1205,3,1,35,Unfurnished,65.06
24,Guntur,1499,4,2,30,Furnished,101.8
25,Chennai,1295,5,2,39,Furnished,68.75
26,Bangalore,948,3,3,34,Semi-Furnished,65.06
27,Vijayawada,925,1,1,20,Semi-Furnished,65.06
28,Chennai,1578,3,3,10,Semi-Furnished,76.12
29,Bangalore,2211,5,2,9,Unknown,61.16
30,Vijayawada,1572,2,3,36,Unfurnished,101.35
31,Vijayawada,1447,5,1,22,Unknown,53.59
32,Hyderabad,1629,3,1,18,Unfurnished,93.31
33,Hyderabad,2088,4,1,38,Furnished,65.06
34,Bangalore,1599,2,2,24,Semi-Furnished,63.49
35,Chennai,1315,5,2,36,Furnished,38.2
36,Hyderabad,1998,1,1,39,Semi-Furnished,76.38
37,Chennai,1693,2,2,20,Furnished,101.13
38,Chennai,2191,3,1,20,Semi-Furnished,63.07
39,Hyderabad,1582,3,3,20,Furnished,60.08
40,Bangalore,949,3,3,32,Unknown,37.13
41,Hyderabad,884,1,3,5,Unfurnished,59.27
42,Chennai,2243,2,3,12,Furnished,25.18
43,Chennai,2276,1,2,21,Semi-Furnished,42.18
44,Vijayawada,1419,3,3,31,Unknown,70.67
45,Hyderabad,1328,2,1,4,Semi-Furnished,97.98
46,Guntur,2158,3,3,24,Furnished,128.26
47,Vijayawada,1002,3,2,11,Unfurnished,50.34
48,Chennai,1097,4,3,8,Semi-Furnished,128.26
49,Bangalore,1789,3,2,20,Semi-Furnished,71.09
50,Chennai,1322,4,3,16,Unknown,61.22
51,Chennai,1498,3,2,25,Furnished,75.81
52,Hyderabad,1426,4,1,12,Semi-Furnished,66.55
53,Vijayawada,1652,4,3,32,Furnished,67.76
54,Vijayawada,2133,2,1,3,Unfurnished,54.79
55,Vijayawada,1541,2,1,34,Furnished,30.05
56,Hyderabad,1790,4,2,1,Unfurnished,65.06
57,Bangalore,1499,2,1,20,Semi-Furnished,81.33
58,Hyderabad,1478,3,3,13,Semi-Furnished,65.06
59,Chennai,1121,1,2,15,Unknown,50.1
60,Bangalore,952,3,1,0,Semi-Furnished,65.21
61,Guntur,1105,3,3,28,Furnished,84.87
62,Chennai,1350,4,2,6,Unknown,69.51
63,Vijayawada,1912,3,1,26,Furnished,48.6
64,Guntur,903,2,3,29,Unknown,95.66
65,Vijayawada,1499,5,2,33,Semi-Furnished,104.48
66,Vijayawada,1282,3,1,28,Unfurnished,77.36
67,Guntur,1353,5,3,12,Furnished,89.34
68,Vijayawada,1951,4,2,29,Furnished,96.05
69,Hyderabad,1742,3,3,33,Semi-Furnished,93.25
70,Vijayawada,2102,5,3,12,Semi-Furnished,80.35
71,Chennai,1430,1,2,4,Semi-Furnished,79.96
72,Hyderabad,1499,5,3,35,Semi-Furnished,77.99
73,Vijayawada,1399,5,1,5,Semi-Furnished,37.57
74,Hyderabad,1609,3,1,23,Furnished,82.52
75,Bangalore,1579,4,2,9,Furnished,31.1
76,Vijayawada,1012,3,3,5,Unknown,45.14
77,Vijayawada,1541,2,2,31,Furnished,97.59
78,Hyderabad,1603,4,2,5,Unknown,86.01
79,Bangalore,2633,2,3,26,Furnished,102.18
80,Bangalore,2345,2,3,27,Semi-Furnished,65.06
81,Guntur,1116,3,3,2,Semi-Furnished,36.19
82,Vijayawada,1371,5,1,6,Furnished,58.99
83,Hyderabad,841,2,2,31,Semi-Furnished,67.55
84,Chennai,1234,3,2,20,Unfurnished,66.97
85,Bangalore,1642,1,2,4,Unfurnished,93.34
86,Chennai,2043,1,2,39,Furnished,55.97
87,Hyderabad,1172,1,1,10,Unfurnished,73.8
88,Vijayawada,1206,1,1,0,Furnished,40.28
89,Chennai,534,5,2,36,Semi-Furnished,76.26
90,Chennai,1427,5,3,0,Unfurnished,65.08
