house_id,city,area_sqft,bedrooms,bathrooms,age_years,furnishing,price_lakhs
1,Hyderabad,1980.0,3,2.0,32.0,Unfurnished,52.49
2,Chennai,1571.0,5,,1.0,Furnished,77.13
3, Bangalore,1429.0,1,1.0,6.0,,51.8
4,vijayawada,1034.0,1,1.0,4.0,Semi-Furnished,64.97
5,vijayawada,746.0,3,1.0,28.0,Semi-Furnished,89.65
6,chennai,1281.0,3,1.0,24.0,furnished,51.06
7,Hyderabad,1476.0,4,2.0,19.0,Unfurnished,85.14
8, Bangalore,2296.0,3,3.0,9.0,Furnished,81.94
9,HYDERABAD ,1559.0,5,3.0,3.0,SEMI-FURNISHED,41.13
10,Hyderabad,1942.0,3,2.0,22.0,,89.35
11,Bangalore,1275.0,1,3.0,9.0,SEMI-FURNISHED,82.46
12,Guntur,967.0,1,3.0,23.0,furnished,67.55
13,Chennai,1066.0,5,,27.0,Unfurnished,45.94
14,Chennai,1174.0,1,2.0,33.0,furnished,43.52
15,Chennai,2458.0,5,1.0,19.0,furnished,618.72
16,Chennai,1130.0,2,3.0,0.0,Furnished,78.56
17,Bangalore,1877.0,1,1.0,11.0,Furnished,41.11
18,hyderabad,1094.0,2,,34.0,Semi-Furnished,75.94
19,chennai,1919.0,4,1.0,21.0,Unfurnished,33.96
20,vijayawada,1673.0,3,3.0,24.0,Furnished,59.9
21,Bangalore,1430.0,4,,18.0,Furnished,67.74
22,Vijayawada,1482.0,4,1.0,6.0,,126.13
23,hyderabad,1205.0,3,1.0,35.0,Unfurnished,
24,Guntur,,4,2.0,30.0,furnished,101.8
25,Chennai,1295.0,5,2.0,39.0,furnished,68.75
26, Bangalore,948.0,3,3.0,34.0,SEMI-FURNISHED,
27,vijayawada,925.0,1,1.0,,SEMI-FURNISHED,
28,chennai,1578.0,3,3.0,10.0,Semi-Furnished,76.12
29,Bangalore,2211.0,5,2.0,9.0,,61.16
30,vijayawada,1572.0,2,3.0,36.0,Unfurnished,101.35
31,vijayawada,1447.0,5,1.0,22.0,,53.59
32,HYDERABAD ,1629.0,3,1.0,18.0,Unfurnished,93.31
33,Hyderabad,2088.0,4,1.0,38.0,Furnished,
34,Bangalore,1599.0,2,2.0,24.0,SEMI-FURNISHED,63.49
35,chennai,1315.0,5,,36.0,Furnished,38.2
36,Hyderabad,1998.0,1,1.0,39.0,SEMI-FURNISHED,76.38
37,chennai,1693.0,2,2.0,,Furnished,101.13
38,chennai,2191.0,3,1.0,,Semi-Furnished,63.07
39,HYDERABAD ,1582.0,3,3.0,,furnished,60.08
40, Bangalore,949.0,3,3.0,32.0,,37.13
41,hyderabad,884.0,1,3.0,5.0,Unfurnished,59.27
42,Chennai,2243.0,2,3.0,12.0,Furnished,25.18
43,Chennai,2276.0,1,2.0,21.0,Semi-Furnished,42.18
44,Vijayawada,1419.0,3,3.0,31.0,,70.67
45,Hyderabad,1328.0,2,1.0,4.0,SEMI-FURNISHED,97.98
46,Guntur,2158.0,3,3.0,24.0,Furnished,135.23
47,vijayawada,1002.0,3,,11.0,Unfurnished,50.34
48,chennai,1097.0,4,3.0,8.0,Semi-Furnished,1210.56
49, Bangalore,1789.0,3,2.0,20.0,Semi-Furnished,71.09
50,Chennai,1322.0,4,3.0,16.0,,61.22
51,Chennai,1498.0,3,2.0,25.0,furnished,75.81
52,hyderabad,1426.0,4,1.0,12.0,Semi-Furnished,66.55
53,Vijayawada,1652.0,4,3.0,32.0,furnished,67.76
54,vijayawada,2133.0,2,1.0,3.0,Unfurnished,54.79
55,vijayawada,1541.0,2,1.0,34.0,Furnished,30.05
56,Hyderabad,1790.0,4,2.0,1.0,Unfurnished,
57,Bangalore,,2,1.0,,Semi-Furnished,81.33
58,hyderabad,1478.0,3,3.0,13.0,Semi-Furnished,
59,Chennai,1121.0,1,2.0,15.0,,50.1
